Rk,Player,Tm,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
1,Jonathan Taylor*+,IND,22,RB,17,17,332,1811,18,107,55.4,83,5.5,106.5,4,TaylJo02
2,Nick Chubb*,CLE,26,RB,14,14,228,1259,8,61,49.1,70,5.5,89.9,2,ChubNi00
3,Joe Mixon*,CIN,25,RB,16,16,292,1205,13,60,49.7,32,4.1,75.3,2,MixoJo00
4,Najee Harris*,PIT,23,RB,17,17,307,1200,7,62,47.6,37,3.9,70.6,0,HarrNa00
5,Dalvin Cook*,MIN,26,RB,13,13,249,1159,6,57,46.2,66,4.7,89.2,3,CookDa01
6,Antonio Gibson,WAS,23,RB,16,14,258,1037,7,65,51.2,27,4.0,64.8,6,GibsAn00
7,Ezekiel Elliott,DAL,26,RB,17,17,237,1002,10,55,51.5,47,4.2,58.9,1,ElliEz00
8,Elijah Mitchell,SFO,23,RB,11,10,207,963,5,47,49.8,39,4.7,87.5,0,MitcEl00
9,Derrick Henry,TEN,27,RB,8,8,219,937,10,49,44.7,76,4.3,117.1,1,HenrDe00
10,Damien Harris,NWE,24,RB,15,15,202,929,15,55,54.0,64,4.6,61.9,2,HarrDa06
11,Melvin Gordon,DEN,28,RB,16,16,203,918,8,48,55.2,70,4.5,57.4,3,GordMe00
12,Austin Ekeler,LAC,26,RB,16,16,206,911,12,53,55.8,28,4.4,56.9,4,EkelAu00
13,Javonte Williams,DEN,21,RB,17,1,203,903,4,52,46.3,49,4.4,53.1,2,WillJa10
14,Alvin Kamara*,NOR,26,RB,13,10,240,898,4,42,41.3,30,3.7,69.1,0,KamaAl00
15,Josh Jacobs,LVR,23,RB,15,14,217,872,9,45,53.0,28,4.0,58.1,2,JacoJo01
16,Devin Singletary,BUF,24,RB,17,16,188,870,7,44,47.3,46,4.6,51.2,5,SingDe00
17,David Montgomery,CHI,24,RB,13,13,225,849,7,55,46.7,41,3.8,65.3,1,MontDa01
18,Sony Michel,LAR,26,RB,17,7,208,845,4,49,51.4,39,4.1,49.7,1,MichSo00
19,Leonard Fournette,TAM,26,RB,14,13,180,812,8,45,56.1,47,4.5,58.0,1,FourLe00
20,AJ Dillon,GNB,23,RB,17,2,187,803,5,50,61.0,36,4.3,47.2,2,DillAJ00
21,Aaron Jones,GNB,27,RB,15,15,171,799,4,37,49.7,57,4.7,53.3,2,JoneAa00
22,Jalen Hurts,PHI,23,QB,15,15,139,784,10,56,61.9,31,5.6,52.3,9,HurtJa00
23,James Robinson,JAX,23,RB,14,13,164,767,8,41,50.0,58,4.7,54.8,4,RobiJa00
24,Lamar Jackson*,BAL,24,QB,12,12,133,767,2,48,56.4,31,5.8,63.9,6,JackLa00
25,Josh Allen,BUF,25,QB,17,17,122,763,6,54,61.5,34,6.3,44.9,8,AlleJo02
26,Miles Sanders,PHI,24,RB,12,12,137,754,0,33,59.1,38,5.5,62.8,1,SandMi01
27,James Conner*,ARI,26,RB,15,6,202,752,15,53,50.0,35,3.7,50.1,2,ConnJa00
28,Rashaad Penny,SEA,25,RB,10,6,119,749,6,28,46.2,62,6.3,74.9,0,PennRa00
29,Tony Pollard,DAL,24,RB,15,0,130,719,2,35,53.8,58,5.5,47.9,2,PollTo00
30,Darrell Henderson,LAR,24,RB,12,10,149,688,5,39,57.0,29,4.6,57.3,0,HendDa00
31,Michael Carter,NYJ,22,RB,14,11,147,639,4,29,51.0,55,4.3,45.6,1,CartMi03
32,Cordarrelle Patterson,ATL,30,RB,16,13,153,618,6,29,43.1,39,4.0,38.6,2,PattCo00
33,D'Andre Swift,DET,22,RB,13,4,151,617,5,28,36.4,57,4.1,47.5,2,SwifDA00
34,Myles Gaskin,MIA,24,RB,17,10,173,612,3,25,41.6,30,3.5,36.0,2,GaskMy00
35,Chuba Hubbard,CAR,22,RB,17,10,172,612,5,36,43.0,26,3.6,36.0,1,HubbCh01
36,Rhamondre Stevenson,NWE,23,RB,12,2,133,606,5,33,57.9,21,4.6,50.5,2,StevRh00
37,Jamaal Williams,DET,26,RB,13,11,153,601,3,42,54.2,20,3.9,46.2,1,WillJa06
38,Saquon Barkley,NYG,24,RB,13,13,162,593,2,27,42.0,41,3.7,45.6,2,BarkSa00
39,Devontae Booker,NYG,29,RB,16,4,145,593,2,31,44.1,31,4.1,37.1,0,BookDe00
40,Chase Edmonds,ARI,25,RB,12,11,116,592,2,32,56.9,54,5.1,49.3,1,EdmoCh00
41,Devonta Freeman,BAL,29,RB,16,8,133,576,5,31,58.6,32,4.3,36.0,0,FreeDe00
