Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
1,Derrick Henry*,TEN,28,RB,16,16,349,1538,13,65,46.7,56,4.4,96.1,6,HenrDe00
2,Josh Jacobs*+,LVR,24,RB,17,17,340,1653,12,93,57.4,86,4.9,97.2,3,JacoJo01
3,Nick Chubb*,CLE,27,RB,17,17,302,1525,12,69,50.0,41,5.0,89.7,1,ChubNi00
4,Saquon Barkley*,NYG,25,RB,16,16,295,1312,10,62,47.5,68,4.4,82.0,1,BarkSa00
5,Najee Harris,PIT,24,RB,17,17,272,1034,7,45,46.0,36,3.8,60.8,3,HarrNa00
6,Dalvin Cook*,MIN,27,RB,17,17,264,1173,8,50,47.3,81,4.4,69.0,4,CookDa01
7,Jamaal Williams,DET,27,RB,17,9,262,1066,17,65,53.1,58,4.1,62.7,3,WillJa06
8,Miles Sanders*,PHI,25,RB,17,15,259,1269,11,62,56.8,40,4.9,74.6,2,SandMi01
9,Christian McCaffrey*,2TM,26,RB,17,16,244,1139,8,59,48.4,49,4.7,67.0,1,McCaCh01
10,Ezekiel Elliott,DAL,27,RB,15,14,231,876,12,52,47.6,27,3.8,58.4,0,ElliEz00
11,Kenneth Walker III,SEA,22,RB,15,11,228,1050,9,51,39.9,74,4.6,70.0,0,WalkKe00
12,Alvin Kamara,NOR,27,RB,15,13,223,897,2,40,52.0,27,4.0,59.8,4,KamaAl00
13,Travis Etienne,JAX,23,RB,17,12,220,1125,5,52,50.9,62,5.1,66.2,5,EtieTr00
14,Dameon Pierce,HOU,22,RB,13,13,220,939,4,54,47.7,75,4.3,72.2,4,PierDa01
15,Aaron Jones,GNB,28,RB,17,17,213,1121,2,54,54.9,36,5.3,65.9,5,JoneAa00
16,Tyler Allgeier,ATL,22,RB,16,7,210,1035,3,53,51.9,44,4.9,64.7,0,AllgTy00
17,Joe Mixon,CIN,26,RB,14,14,210,814,7,47,52.4,40,3.9,58.1,0,MixoJo00
